Unnamed: 0,Hindi,Bhili,Predicted_Bhili,BLEU,chrF,chrF2
0,दूसरा ये बदलती हुई व्यवस्थाओं के लिए ये जो supportive infrastructure चाहिए।,बिजा यी बदळती थाई वेवस्तायु हारू यी जी सपोर्टटीव.इंफ्रास्ट्रक्चर जोईये ।,बीजो ये बदलती थई व्यवस्थाओं हारू ये जो supportive infrastructure जोवे ।,3.7052472057637615,15.044276936438584,13.519624347399745
1,निश्चित रूप से इन आंदोलनों ने ब्रिटिश सरकार पर जबरदस्त दबाव डाला और सरकारी तंत्र को हिलाकर रख दिया।,खरी बात थी इना आन्दोलन (लड़ायो ) माँ ब्रिटिश सरकार पर घणो दबाव डाल्यो अने सरकारी तंत्र ने हलावी ने मेली देदो |,नक् की रूप थी इना आंदोलनों हीं ब्रिटिश सरकार पर जबरदस्त दबाव डाल् यो अने सरकारी तंत्र ने हिलावीन राखी दे दो ।,16.333746298423776,56.14224949965927,50.6503826687134
2,"हिंदू और मुस्लिम दोनों दरबारों में, कथक अत्यधिक शैलीबद्ध हो गया और मनोरंजन का एक परिष्कृत रूप माना जाने लगा।",गैस ना इंजवाका नी जगा ऊपर विजली ना इंज वाला आयूँ बेहवा की वैवस्था मा ह्दार थायो लोक महाकाव्यो संस्कृत नाटको अन होसेलो वार तरयो नी भेलियो करी आज नी विषयगत बणावी दे दा |,हिन्दु अने मुसलमान बे दरबारों मा कथक घणा शैलीबद्ध थाई गया अने मनोरंजन नो एक परिष्कृत रूप मानी जावा लाग्यो।,0.9043944515757394,14.729326136445032,11.438426685395584
3,"साथियों, देश में नई व्‍यवस्‍थाएं बन रही हैं।","हात वाळों ., देहमा नवी वेवस्तायु बनी र्यी से","साथियों, देश मां नवी व् यवस् थाएं बणीं री से।",4.456882760699063,20.24439068556715,17.637366253499582
4,"मोदी जी: अच्छा सुनीता जी, यह ड्रोन दीदी बनने का आपका सफर कैसे शुरू हुआ?","मोदजी: जी नज सुनीता जी, ई ड्रोन जीजी बणवा मां तमारों फैरावों किकम सरू थायों। ","मोदी जी: असल सुनीता जी, यो ड्रोन दीदी बणवा नो तमारी सफर किकम शुरू थायो ?",10.21619866588636,36.94012595590471,35.08094255915715
5,देसाई ने महसूस किया कि वास्तविक जीवन में मृत्यु से बचने वाले व्यक्ति को पर्दे पर मार देना अनुचित होगा।,देसाई नी महसूस करियू कि वास्तविक जीवन मा मरवाथी क्यना वाला आद‌गी जी पर्दे पर मार देवू अनुचित थाहे।,देसाई ये मालम पडीयु के खरा जीवन मा मरवा थी वसवा वाळा मनख ने पर्दे पर मार देवानु अनुचित थाहे।,10.830630507021791,45.23624590103203,41.903977888583235
6,मैं आज ऐसे सभी को आदरपूर्वक नमन करता हूं।,"हुँ, आज ऐवा बदांनें मानथी जोहार करूं से। ",हुं आज ऐवा बदां ने आदरपूर्वक नमन करूं से।,13.485111859503691,45.67795837366194,42.93902433580201
7,"कन्याकुमारी ज़िले के अन्य लोकप्रिय झरनों में उल्लाकार्वी झरना, वट्टपराई झरना और कालीकेसम झरना शामिल हैं।",कन्याकुमारी जिले मा एक असल डुंगर पर उल्लावाही झरना वाट पाडे झरना अने काशी कसम भेला करीयो ,कन्याकुमारी जिला ना बीजा लोकप्रिय झरनो मा उल्लाकार्वी झरना वट्टपराई झरना अने कालीकेसम झरना भेळा से।,5.777712690476738,41.715883193964125,35.830969803346214
8,हम तो हमारा सफाई का क्षेत्र हो उसमें भी एक नई skill development की ओर बल देना चाहते हैं।,हमु ते अमारा सफाई बा क्षेतर होय तिहुमा पण एक नवी स्किल डेवलपमेंट आडी बळ देवा मांगिये से।,हमु ते हमारी सफाई ना क्षेत्र होय तिनमा पण एक नवी skill development नी तरफ जोर देवा चाहीये से ।,10.079037376973913,33.922109138766395,33.034078916711834
9,बीजेएस के पूर्व सदस्यों ने 1980 में वाजपेयी के नेतृत्व में भारतीय जनता पार्टी का गठन किया था।,बीजे एस नो पूर्व /पहला ना सदस्य यी 1980 माँ वाजपेयी नी नेतृत्त्व  /देखरेख मा भारतीय जनता पार्टी नो गठन करेलो |,बीजेएस ना पेहला ना सदस्यों यी 1980 मा वाजपेयी ना नेतृत्व मा भारतीय जनता पार्टी नो गठन करियो हतो।,22.797979039517884,60.013365781499495,53.86805431056777
